Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Food Waste Sector,Units,2016,2017,2018,point,lat,lng
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),170,Colombia,OOHC,KG,,,,27.64805,4.570868,-74.297333
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),170,Colombia,RTL,KG,,,,15.64022,4.570868,-74.297333
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),174,Comoros,HHS,KG,,,,99.59235,-11.875001,43.872219
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),174,Comoros,OOHC,KG,,,,27.64837,-11.875001,43.872219
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),174,Comoros,RTL,KG,,,,15.64039,-11.875001,43.872219
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),180,Congo [DRC],HHS,KG,,,,102.69437,-4.038333,21.758664
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),180,Congo [DRC],OOHC,KG,,,,27.64808,-4.038333,21.758664
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),180,Congo [DRC],RTL,KG,,,,15.64023,-4.038333,21.758664
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),188,Costa Rica,HHS,KG,,,,72.43272,9.748917,-83.753428
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),188,Costa Rica,OOHC,KG,,,,27.64829,9.748917,-83.753428
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),188,Costa Rica,RTL,KG,,,,15.64035,9.748917,-83.753428
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),191,Croatia,HHS,KG,,,,84.2724,45.1,15.2
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),191,Croatia,OOHC,KG,,,,25.57042,45.1,15.2
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),191,Croatia,RTL,KG,,,,12.81131,45.1,15.2
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),192,Cuba,HHS,KG,,,,72.43226,21.521757,-77.781167
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),192,Cuba,OOHC,KG,,,,27.64811,21.521757,-77.781167
12,12.3,12.3.1,AG_FOOD_WST_PC,Food waste per capita (KG),192,Cuba,RTL,KG,,,,15.64025,21.521757,-77.781167
12,12.4,12.4.2,EN_HAZ_PCAP,"Hazardous waste generated, per capita (Kg)",192,Cuba,N/A,KG,20.37007,20.73311,34.0097,23.10278,21.521757,-77.781167
